"","ID","LMT_Date","Age","Sex","Year","site","dist_hub","Stage"
"62",113,2014-05-01,"Adult","Male",2014,"Webb",1222.74068131836,"2Hunt"
"63",113,2014-05-02,"Adult","Male",2014,"Webb",1158.98518787742,"3Post_Hunt"
"64",113,2014-05-03,"Adult","Male",2014,"Webb",990.449132425142,"3Post_Hunt"
"65",113,2014-05-04,"Adult","Male",2014,"Webb",955.447518153812,"3Post_Hunt"
"66",113,2014-05-05,"Adult","Male",2014,"Webb",1275.55960721504,"3Post_Hunt"
"67",113,2014-05-06,"Adult","Male",2014,"Webb",1529.75628276824,"3Post_Hunt"
"68",113,2014-05-07,"Adult","Male",2014,"Webb",1114.9454358714,"3Post_Hunt"
"69",113,2014-05-08,"Adult","Male",2014,"Webb",546.449119053833,"3Post_Hunt"
"70",113,2014-05-09,"Adult","Male",2014,"Webb",338.473753289242,"3Post_Hunt"
"71",113,2014-05-10,"Adult","Male",2014,"Webb",289.973225847134,"3Post_Hunt"
"72",113,2014-05-11,"Adult","Male",2014,"Webb",260.739090805143,"3Post_Hunt"
"73",113,2014-05-12,"Adult","Male",2014,"Webb",749.686224992691,"3Post_Hunt"
"74",113,2014-05-13,"Adult","Male",2014,"Webb",797.218561617897,"3Post_Hunt"
"75",113,2014-05-14,"Adult","Male",2014,"Webb",228.718662610391,"3Post_Hunt"
"76",113,2014-05-15,"Adult","Male",2014,"Webb",289.862603208587,"3Post_Hunt"
"77",113,2014-05-16,"Adult","Male",2014,"Webb",288.763031423044,"3Post_Hunt"
"78",113,2014-05-17,"Adult","Male",2014,"Webb",171.011058326306,"3Post_Hunt"
"79",113,2014-05-18,"Adult","Male",2014,"Webb",345.195791236627,"3Post_Hunt"
"80",113,2014-05-19,"Adult","Male",2014,"Webb",348.873262075847,"3Post_Hunt"
"81",128,2014-03-01,"Adult","Male",2014,"Webb",248.743133872815,"1Pre_Hunt"
"82",128,2014-03-02,"Adult","Male",2014,"Webb",227.805123390584,"1Pre_Hunt"
"83",128,2014-03-03,"Adult","Male",2014,"Webb",247.518042476367,"1Pre_Hunt"
"84",128,2014-03-04,"Adult","Male",2014,"Webb",180.793345001975,"1Pre_Hunt"
"85",128,2014-03-05,"Adult","Male",2014,"Webb",194.162848582392,"1Pre_Hunt"
"86",128,2014-03-06,"Adult","Male",2014,"Webb",170.170091147453,"1Pre_Hunt"
"87",128,2014-03-07,"Adult","Male",2014,"Webb",26.1018941921637,"1Pre_Hunt"
"88",128,2014-03-08,"Adult","Male",2014,"Webb",146.130052379329,"1Pre_Hunt"
"89",128,2014-03-09,"Adult","Male",2014,"Webb",138.469022143557,"1Pre_Hunt"
"90",128,2014-03-10,"Adult","Male",2014,"Webb",199.665202677552,"1Pre_Hunt"
"91",128,2014-03-11,"Adult","Male",2014,"Webb",197.161381730326,"1Pre_Hunt"
"92",128,2014-03-12,"Adult","Male",2014,"Webb",144.250944451204,"1Pre_Hunt"
"93",128,2014-03-13,"Adult","Male",2014,"Webb",202.728074927226,"1Pre_Hunt"
"94",128,2014-03-14,"Adult","Male",2014,"Webb",149.528307160399,"1Pre_Hunt"
"95",128,2014-03-15,"Adult","Male",2014,"Webb",240.23208682833,"1Pre_Hunt"
"96",128,2014-03-16,"Adult","Male",2014,"Webb",178.609834064954,"1Pre_Hunt"
"97",128,2014-03-17,"Adult","Male",2014,"Webb",332.343254864315,"1Pre_Hunt"
"98",128,2014-03-18,"Adult","Male",2014,"Webb",304.86141189347,"1Pre_Hunt"
"99",128,2014-03-19,"Adult","Male",2014,"Webb",362.87571141243,"1Pre_Hunt"
"100",128,2014-03-20,"Adult","Male",2014,"Webb",454.159021027184,"1Pre_Hunt"
"101",128,2014-03-21,"Adult","Male",2014,"Webb",232.734085059103,"1Pre_Hunt"
"102",128,2014-03-22,"Adult","Male",2014,"Webb",283.528850065584,"1Pre_Hunt"
"103",128,2014-03-23,"Adult","Male",2014,"Webb",187.010489923629,"1Pre_Hunt"
"104",128,2014-03-24,"Adult","Male",2014,"Webb",130.725859870837,"1Pre_Hunt"
"105",128,2014-03-25,"Adult","Male",2014,"Webb",207.726523665781,"1Pre_Hunt"
"106",128,2014-03-26,"Adult","Male",2014,"Webb",226.421660681428,"1Pre_Hunt"
"107",128,2014-03-27,"Adult","Male",2014,"Webb",445.02674753662,"1Pre_Hunt"
"108",128,2014-03-28,"Adult","Male",2014,"Webb",353.188708338791,"1Pre_Hunt"
"109",128,2014-03-29,"Adult","Male",2014,"Webb",738.580113120351,"1Pre_Hunt"
"110",128,2014-03-30,"Adult","Male",2014,"Webb",690.390182847779,"1Pre_Hunt"
"111",128,2014-03-31,"Adult","Male",2014,"Webb",659.233110594237,"1Pre_Hunt"
